X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
1.0,1.0,train,0.0013364827707160229,50.421786401203306,0.7283607451315518
2.0,2.0,train,0.0067679787255331796,95.17189623960422,0.9986394156225818
3.0,3.0,train,0.006121969443749571,92.55995445738878,0.9974454535607616
4.0,4.0,train,0.005073291599147865,88.12732870817248,0.9928971216837504
5.0,5.0,train,0.003767195036760862,78.98307448649744,0.9746152362817757
6.0,6.0,train,0.0033096354903616185,76.49398756930083,0.9603400652562678
7.0,7.0,train,5.136842417049641E-4,26.709080889347746,0.39402873997591126
8.0,8.0,train,0.00898569729429582,99.99999665009042,0.9998435015560424
9.0,9.0,train,0.00825992510462428,99.1014108654057,0.9996824015632099
10.0,10.0,train,0.0016421349150880838,57.08407257667781,0.7983736711153764
11.0,11.0,train,0.002975806147102414,74.316377642623,0.9450800068175158
12.0,12.0,train,5.671929721383723E-5,4.502693154829585,0.05380841813644932
13.0,13.0,train,0.0011582062356839155,46.81024092387032,0.6767834584430708
14.0,14.0,train,7.544157868857964E-4,34.90627753244326,0.5208174947011575
15.0,15.0,train,0.0052431022174663396,90.21567130190951,0.993981078402203
16.0,16.0,train,0.004635850826977203,85.72598844662052,0.9891183979827434
17.0,17.0,train,5.888085496231477E-4,29.822395454659492,0.43683392103703766
18.0,18.0,train,5.852202749728977E-4,29.676037909040275,0.43485987762074707
19.0,19.0,train,3.2523220290253473E-4,19.89766288591704,0.2717802475284521
20.0,20.0,train,0.004655581183598787,86.65617246138277,0.9893257608569253
21.0,21.0,train,0.006143612481326463,93.17432322986443,0.9974988032130043
22.0,22.0,train,6.621195531951095E-4,32.1071753939767,0.4756890917145489
23.0,23.0,train,0.0014929590408453092,54.12716717820465,0.7668024364301714
24.0,24.0,train,0.004755255243324648,87.13166964718079,0.9903144465785625
25.0,25.0,train,0.003886740583209958,79.75034671014868,0.9774085056563288
26.0,26.0,train,7.768044056409218E-4,35.976857064532965,0.531165830624882
