"","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19"
"bio1",1,0.224204896448996,-0.195819981350067,0.254898029505404,0.926135634053762,0.806849545792005,0.312545602650759,0.199442695543614,0.37431140895526,0.925117893620088,0.859472552033101,-0.0576100774182109,-0.0682410989658496,0.0130442988627886,0.0665029771836465,-0.0957601762537207,-0.00277314618422549,-0.172983647680218,0.129238512462146
"bio2",0.224204896448996,1,0.091187396361531,0.260049411744805,0.367981611465373,-0.0162371966132549,0.431770565519033,0.111537956910702,-0.123400307945741,0.265773968269699,0.0740170750334449,-0.168856172381636,-0.217974497184114,0.0624964667526688,-0.0900643216934366,-0.177303557330851,-0.0697055035602209,-0.121922918068697,-0.251094750140081
"bio3",-0.195819981350067,0.091187396361531,1,-0.929813943798256,-0.481950617825887,0.340242631582097,-0.856785160282413,-0.718294217398758,0.585364419740268,-0.533084143367959,0.282917992671131,0.367383635440259,0.0816499575809336,0.46713803883849,-0.821725106388924,0.139631481837314,0.525005742511315,-0.150369984314669,0.579708180757618
"bio4",0.254898029505404,0.260049411744805,-0.929813943798256,1,0.577664159249369,-0.354410482968,0.978171796176964,0.71713385593135,-0.6288437707,0.598557083498795,-0.270195086789705,-0.387989996754266,-0.1180532214466,-0.433493685137131,0.796603371724883,-0.162982932136863,-0.529629178197148,0.135102467107132,-0.623246683580159
"bio5",0.926135634053762,0.367981611465373,-0.481950617825887,0.577664159249369,1,0.540127135716666,0.639808797218287,0.439343333039176,0.072168041588314,0.990126469134874,0.621520349643032,-0.190170532864728,-0.112965569399519,-0.11459638880222,0.316062184246082,-0.143508114085092,-0.181469000438426,-0.0997516316118811,-0.14517759725519
"bio6",0.806849545792005,-0.0162371966132549,0.340242631582097,-0.354410482968,0.540127135716666,1,-0.301207496354938,-0.225335120736356,0.725393866264889,0.531952175436032,0.991713347849115,0.203796454803862,0.0371829654021357,0.282490524515868,-0.388921681291846,0.0372241421478247,0.327945379056959,-0.209635117656316,0.50611540086212
"bio7",0.312545602650759,0.431770565519033,-0.856785160282413,0.978171796176964,0.639808797218287,-0.301207496354938,1,0.703575325261073,-0.580659550773246,0.636086930314442,-0.201417297360715,-0.40158027934152,-0.161951501305995,-0.387814209802264,0.713278526331796,-0.196595417375926,-0.505093810777569,0.0784148931336513,-0.626678594408987
"bio8",0.199442695543614,0.111537956910702,-0.718294217398758,0.71713385593135,0.439343333039176,-0.225335120736356,0.703575325261073,1,-0.532766634277966,0.457497086822605,-0.160376225293389,-0.336583541742809,-0.165640409046672,-0.310946079643348,0.563127557884816,-0.189654144669934,-0.405614095129066,0.125884048613089,-0.574414867074526
"bio9",0.37431140895526,-0.123400307945741,0.585364419740268,-0.6288437707,0.072168041588314,0.725393866264889,-0.580659550773246,-0.532766634277966,1,0.0705867761505119,0.691681034257469,0.0102082405251729,-0.115845800220017,-0.00473321823093961,-0.539827283286383,-0.131578973097594,0.125499425254505,-0.643134100549876,0.599218972935621
"bio10",0.925117893620088,0.265773968269699,-0.533084143367959,0.598557083498795,0.990126469134874,0.531952175436032,0.636086930314442,0.457497086822605,0.0705867761505119,1,0.608438865020747,-0.216130614950819,-0.112339180979641,-0.181921383669953,0.379500806409432,-0.153945574583725,-0.231692704372026,-0.102184738788841,-0.149900898528966
"bio11",0.859472552033101,0.0740170750334449,0.282917992671131,-0.270195086789705,0.621520349643032,0.991713347849115,-0.201417297360715,-0.160376225293389,0.691681034257469,0.608438865020747,1,0.154141024716929,0.0019626139040276,0.249071130797141,-0.341399292338981,0.000673537231188483,0.280021658320657,-0.225697709033396,0.445308604957662
"bio12",-0.0576100774182109,-0.168856172381636,0.367383635440259,-0.387989996754266,-0.190170532864728,0.203796454803862,-0.40158027934152,-0.336583541742809,0.0102082405251729,-0.216130614950819,0.154141024716929,1,0.901060378155436,0.843526779367162,-0.128809385333935,0.933327646385615,0.841334887300702,0.705891945404375,0.755678970273062
"bio13",-0.0682410989658496,-0.217974497184114,0.0816499575809336,-0.1180532214466,-0.112965569399519,0.0371829654021357,-0.161951501305995,-0.165640409046672,-0.115845800220017,-0.112339180979641,0.0019626139040276,0.901060378155436,1,0.559205069736671,0.26733865874644,0.992529642245347,0.5434513702404,0.698645466449282,0.645515060956873
"bio14",0.0130442988627886,0.0624964667526688,0.46713803883849,-0.433493685137131,-0.11459638880222,0.282490524515868,-0.387814209802264,-0.310946079643348,-0.00473321823093961,-0.181921383669953,0.249071130797141,0.843526779367162,0.559205069736671,1,-0.463829079892561,0.629725907527163,0.97384912650546,0.619761255845428,0.573605662215546
"bio15",0.0665029771836465,-0.0900643216934366,-0.821725106388924,0.796603371724883,0.316062184246082,-0.388921681291846,0.713278526331796,0.563127557884816,-0.539827283286383,0.379500806409432,-0.341399292338981,-0.128809385333935,0.26733865874644,-0.463829079892561,1,0.193706452083503,-0.515660883811518,0.270085382725463,-0.343798527678779
"bio16",-0.0957601762537207,-0.177303557330851,0.139631481837314,-0.162982932136863,-0.143508114085092,0.0372241421478247,-0.196595417375926,-0.189654144669934,-0.131578973097594,-0.153945574583725,0.000673537231188483,0.933327646385615,0.992529642245347,0.629725907527163,0.193706452083503,1,0.602762641664411,0.734152342633699,0.639755066003506
"bio17",-0.00277314618422549,-0.0697055035602209,0.525005742511315,-0.529629178197148,-0.181469000438426,0.327945379056959,-0.505093810777569,-0.405614095129066,0.125499425254505,-0.231692704372026,0.280021658320657,0.841334887300702,0.5434513702404,0.97384912650546,-0.515660883811518,0.602762641664411,1,0.52907235000978,0.68595655689342
"bio18",-0.172983647680218,-0.121922918068697,-0.150369984314669,0.135102467107132,-0.0997516316118811,-0.209635117656316,0.0784148931336513,0.125884048613089,-0.643134100549876,-0.102184738788841,-0.225697709033396,0.705891945404375,0.698645466449282,0.619761255845428,0.270085382725463,0.734152342633699,0.52907235000978,1,0.105321883214071
"bio19",0.129238512462146,-0.251094750140081,0.579708180757618,-0.623246683580159,-0.14517759725519,0.50611540086212,-0.626678594408987,-0.574414867074526,0.599218972935621,-0.149900898528966,0.445308604957662,0.755678970273062,0.645515060956873,0.573605662215546,-0.343798527678779,0.639755066003506,0.68595655689342,0.105321883214071,1
