"Variable","Mean","SD","Min","Max"
"ID",115.5,66.54,1,230
"wc2.1_2.5m_bio_1",0.41,4.39,-8.1,21.62
"wc2.1_2.5m_bio_2",11.88,0.98,6.18,14.85
"wc2.1_2.5m_bio_3",29.94,2.7,22.13,39.87
"wc2.1_2.5m_bio_4",1037.66,140.78,710.42,1353.07
"wc2.1_2.5m_bio_5",20.12,5.12,8.71,39.21
"wc2.1_2.5m_bio_6",-19.77,4.75,-27.51,1.97
"wc2.1_2.5m_bio_7",39.89,4.13,27.49,49.99
"wc2.1_2.5m_bio_8",8.74,7.67,-13.01,30.69
"wc2.1_2.5m_bio_9",-8.72,8.72,-20,24.57
"wc2.1_2.5m_bio_10",12.69,4.98,2.81,30.69
"wc2.1_2.5m_bio_11",-12.6,4.5,-20,10.71
"wc2.1_2.5m_bio_12",305.9,189,28,1037
"wc2.1_2.5m_bio_13",53.45,27.75,9,168
"wc2.1_2.5m_bio_14",6.94,6.17,0,26
"wc2.1_2.5m_bio_15",67.47,26.73,33.49,127.85
"wc2.1_2.5m_bio_16",143.13,77.43,17,442
"wc2.1_2.5m_bio_17",27.42,23.49,0,127
"wc2.1_2.5m_bio_18",117.2,64.28,2,288
"wc2.1_2.5m_bio_19",44.7,53.13,1,336
